epoch,total,rec,kl,beta
612,117.798096,112.029570,5.768525,1.0000
613,118.089958,112.349218,5.740740,1.0000
614,118.361183,112.560307,5.800876,1.0000
615,118.118684,112.272193,5.846491,1.0000
616,117.888064,111.999139,5.888925,1.0000
617,117.870018,112.056481,5.813537,1.0000
618,117.996090,112.118847,5.877243,1.0000
619,118.035702,112.185200,5.850502,1.0000
620,118.012633,112.144855,5.867778,1.0000
621,117.898817,112.101534,5.797284,1.0000
622,117.921156,112.033937,5.887219,1.0000
623,117.976808,112.172644,5.804164,1.0000
624,117.925373,112.112893,5.812480,1.0000
625,117.837702,112.097105,5.740597,1.0000
626,117.955008,112.108810,5.846198,1.0000
627,117.918464,112.125789,5.792676,1.0000
628,117.893061,111.952377,5.940684,1.0000
629,117.833288,111.986408,5.846880,1.0000
630,117.754869,111.901506,5.853363,1.0000
631,117.848026,112.020294,5.827732,1.0000
